channel_name,category,text_length,word_count,sentiment,csat score
2,5,7,1,-0.1,5
1,10,7,1,-0.1,2
0,9,8,1,0.0,5
1,5,62,7,0.0,4
1,11,7,1,-0.1,5
1,5,7,1,-0.1,4
1,7,54,7,0.7,5
1,1,127,18,0.0,2
1,7,0,0,0.0,5
1,8,39,6,0.25,2
1,10,285,39,-0.16999999999999998,2
1,9,4,1,0.6,4
1,10,7,1,-0.1,2
1,10,9,1,1.0,5
1,5,7,1,-0.1,4
1,5,7,1,-0.1,5
2,10,6,1,0.0,4
1,5,31,4,0.7,5
1,9,8,1,0.0,5
1,2,7,1,-0.1,3
1,5,7,1,-0.1,5
1,10,7,1,-0.1,5
1,10,7,1,-0.1,5
1,5,7,1,-0.1,5
1,8,7,1,0.0,5
2,5,2,1,0.5,3
1,10,7,1,-0.1,5
1,9,7,1,-0.1,5
1,9,36,6,-0.24999999999999992,2
1,5,7,1,-0.1,5
1,5,180,26,-0.19999999999999993,5
1,10,16,2,0.425,5
1,5,7,1,-0.1,5
1,10,4,1,0.7,5
1,5,7,1,-0.1,5
2,10,7,1,-0.1,4
1,5,7,1,-0.1,3
1,5,7,1,-0.1,4
2,10,7,1,-0.1,5
0,5,7,1,-0.1,2
1,10,9,2,0.7,5
1,5,7,1,-0.1,5
1,10,16,2,0.6,5
1,10,31,3,0.0,4
1,5,7,1,-0.1,5
1,5,17,2,0.225,5
2,5,66,10,0.0,2
1,10,7,1,-0.1,2
2,8,7,1,-0.1,5
1,5,7,1,-0.1,4
1,10,7,1,-0.1,5
1,10,6,1,0.2,5
0,9,7,1,-0.1,5
1,10,7,1,-0.1,5
1,10,55,7,0.0,5
1,5,7,1,-0.1,5
2,9,7,1,-0.1,5
1,10,7,1,-0.1,4
1,5,28,4,0.0,2
1,10,4,1,0.6,5
1,2,208,29,0.04545454545454545,2
2,5,7,1,-0.1,5
1,8,7,1,-0.1,5
1,10,7,1,-0.1,4
1,9,9,1,0.0,5
1,5,28,4,0.0,5
1,10,30,5,0.2,5
1,2,7,1,-0.1,4
0,5,7,1,-0.1,5
2,9,7,1,-0.1,5
1,10,7,1,-0.1,4
1,11,12,2,0.0,4
1,10,7,1,-0.1,4
1,5,7,1,-0.1,5
1,10,16,2,0.0,2
1,10,7,1,-0.1,5
2,7,4,1,0.6,5
1,10,7,1,-0.1,5
1,8,7,1,-0.1,5
2,9,7,1,-0.1,5
1,10,7,1,-0.1,4
1,5,7,1,-0.1,5
1,10,7,1,-0.1,5
1,5,7,1,-0.1,2
1,9,7,1,-0.1,4
1,10,7,1,-0.1,2
1,10,7,1,-0.1,5
1,10,10,2,0.6,5
1,10,7,1,-0.1,5
1,10,4,1,0.7,5
1,5,7,1,-0.1,5
1,9,6,1,0.2,5
1,10,7,1,-0.1,4
1,5,7,1,-0.1,3
1,5,7,1,-0.1,5
1,10,7,1,-0.1,2
1,5,12,2,-0.4,2
0,9,7,1,-0.1,4
1,5,7,1,-0.1,2
1,5,7,1,-0.1,4
